panel	gid	tpm_Ar	tpm_As	tpm_Br	tpm_Bs	tpm_Hr	tpm_Hs	MP_tpm	HP_tpm	SS_Ar_As	SS_Br_Bs	SS_As_Bs	SS_Hs_As	SS_Hs_Bs	SS_Hs_Ms	tag	Bs_As log2ratio
variable (1155)	Zm00001d011099	97.4	29.5	182.9	51.0	123.9	35.2	40.2	51.0	0.073	0.084	0.119	0.080	0.142	0.134	variable	0.789536851
variable (1155)	Zm00001d011112	8.2	5.1	6.5	4.6	4.8	1.7	4.8	5.1	0.097	0.065	0.171	0.187	0.138	0.203	variable	-0.125874636
variable (1155)	Zm00001d011119	124.9	51.5	47.6	63.9	36.5	90.6	57.7	63.9	0.092	0.049	0.119	0.040	0.100	0.033	variable	0.3108819591
variable (1155)	Zm00001d011136	31.4	26.2	19.1	18.4	18.6	8.3	22.3	26.2	0.041	0.081	0.266	0.234	0.200	0.201	variable	-0.5062189085
variable (1155)	Zm00001d011145	66.2	64.2	146.9	53.9	319.0	29.9	59.1	64.2	0.040	0.082	0.233	0.258	0.123	0.204	variable	-0.2510597052
variable (1155)	Zm00001d011162	39.9	33.2	246.9	84.4	108.9	52.3	58.8	84.4	0.078	0.086	0.478	0.433	0.109	0.083	variable	1.348420166
variable (1155)	Zm00001d011167	39.0	28.7	31.6	21.7	56.3	13.2	25.2	28.7	0.087	0.066	0.113	0.214	0.205	0.232	variable	-0.4032533605
variable (1155)	Zm00001d011177	40.7	29.9	31.0	18.3	27.5	15.8	24.1	29.9	0.046	0.077	0.235	0.072	0.163	0.066	variable	-0.7091990902
variable (1155)	Zm00001d011236	25.2	25.5	133.9	259.4	57.5	12.6	142.5	259.4	0.058	0.063	0.249	0.207	0.070	0.081	variable	3.344361783
variable (1155)	Zm00001d011309	30.3	23.8	45.1	22.0	50.9	16.5	22.9	23.8	0.050	0.094	0.139	0.103	0.078	0.061	variable	-0.114988714
variable (1155)	Zm00001d011321	17.6	11.5	14.4	15.6	5.4	8.5	13.6	15.6	0.047	0.080	0.108	0.083	0.113	0.105	variable	0.4310283982
variable (1155)	Zm00001d011353	121.1	69.3	103.2	60.4	250.2	41.9	64.8	69.3	0.074	0.067	0.187	0.107	0.104	0.064	variable	-0.1988314559
variable (1155)	Zm00001d011418	29.9	16.9	19.7	17.4	15.6	17.9	17.2	17.4	0.085	0.054	0.254	0.124	0.145	0.101	variable	0.03908729439
variable (1155)	Zm00001d011532	74.8	51.1	70.0	25.6	101.7	29.1	38.4	51.1	0.080	0.078	0.168	0.097	0.130	0.090	variable	-0.9967918154
variable (1155)	Zm00001d011565	66.7	33.6	74.0	52.5	61.0	34.9	43.1	52.5	0.090	0.074	0.210	0.209	0.106	0.112	variable	0.6442612586
variable (1155)	Zm00001d011596	30.2	724.9	39.5	642.8	83.2	969.0	683.8	724.9	0.074	0.063	0.188	0.095	0.094	0.059	variable	-0.1734709546
variable (1155)	Zm00001d011606	66.6	50.0	65.4	42.2	109.5	42.1	46.1	50.0	0.055	0.030	0.219	0.136	0.091	0.069	variable	-0.2434417507
variable (1155)	Zm00001d011706	71.1	46.2	77.7	32.5	87.4	32.8	39.3	46.2	0.096	0.063	0.177	0.097	0.106	0.075	variable	-0.5074585208
variable (1155)	Zm00001d011750	94.9	58.0	138.1	99.0	104.1	54.2	78.5	99.0	0.052	0.054	0.400	0.218	0.182	0.048	variable	0.7722021963
variable (1155)	Zm00001d011773	35.2	27.2	36.9	23.8	31.1	27.2	25.5	27.2	0.039	0.042	0.355	0.232	0.131	0.141	variable	-0.1923564875
variable (1155)	Zm00001d011792	102.4	86.1	86.7	84.6	31.7	32.4	85.4	86.1	0.078	0.082	0.216	0.212	0.101	0.141	variable	-0.02565033351
variable (1155)	Zm00001d011831	10.1	4.3	16.9	12.6	7.8	5.9	8.4	12.6	0.090	0.066	0.210	0.118	0.160	0.161	variable	1.555553682
variable (1155)	Zm00001d011845	37.9	14.0	4.5	27.6	3.6	13.4	20.8	27.6	0.024	0.074	0.195	0.075	0.140	0.096	variable	0.9760578443
variable (1155)	Zm00001d011919	247.1	61.7	342.9	67.4	52.7	13.5	64.5	67.4	0.044	0.064	0.133	0.117	0.121	0.128	variable	0.127545807
variable (1155)	Zm00001d011920	128.3	86.8	128.6	130.0	88.0	105.4	108.4	130.0	0.099	0.041	0.130	0.097	0.104	0.081	variable	0.5831076233
variable (1155)	Zm00001d012084	8.3	6.4	11.0	6.3	16.2	6.5	6.4	6.4	0.098	0.098	0.162	0.131	0.206	0.153	variable	-0.01902693885
variable (1155)	Zm00001d012092	11.3	9.0	14.8	7.0	4.2	3.4	8.0	9.0	0.023	0.076	0.104	0.034	0.093	0.043	variable	-0.355786783
variable (1155)	Zm00001d012158	50.7	51.3	103.7	38.7	14.4	2.6	45.0	51.3	0.064	0.081	0.158	0.296	0.171	0.249	variable	-0.4058049459
variable (1155)	Zm00001d012161	119.7	88.7	232.1	201.6	124.5	39.3	145.2	201.6	0.039	0.084	0.293	0.165	0.288	0.212	variable	1.184246847
variable (1155)	Zm00001d012219	15.6	25.4	29.2	18.1	56.3	9.0	21.7	25.4	0.065	0.090	0.131	0.269	0.309	0.252	variable	-0.4912545586
variable (1155)	Zm00001d012336	375.5	252.9	439.7	229.8	860.0	250.4	241.3	252.9	0.049	0.073	0.114	0.076	0.188	0.090	variable	-0.138044692
variable (1155)	Zm00001d012439	20.4	24.4	24.8	28.5	7.8	11.5	26.4	28.5	0.057	0.074	0.146	0.122	0.109	0.132	variable	0.2246810765
variable (1155)	Zm00001d012463	17.0	21.3	19.5	20.0	12.0	13.0	20.6	21.3	0.098	0.084	0.120	0.068	0.156	0.080	variable	-0.08830273677
variable (1155)	Zm00001d012471	46.0	54.1	44.3	24.9	83.8	8.4	39.5	54.1	0.091	0.095	0.136	0.130	0.160	0.127	variable	-1.118035164
variable (1155)	Zm00001d012480	16.7	9.9	11.6	10.8	7.8	1.8	10.3	10.8	0.067	0.094	0.136	0.182	0.184	0.146	variable	0.1306862337
variable (1155)	Zm00001d012482	63.2	12.9	55.1	13.2	1.8	1.4	13.1	13.2	0.054	0.047	0.103	0.045	0.108	0.067	variable	0.03901971254
variable (1155)	Zm00001d012504	20.1	40.2	24.1	25.7	10.8	9.5	32.9	40.2	0.084	0.089	0.136	0.117	0.133	0.100	variable	-0.645879361
variable (1155)	Zm00001d012522	17.2	18.8	35.2	9.7	6.0	4.7	14.3	18.8	0.067	0.078	0.192	0.136	0.172	0.152	variable	-0.9578463775
variable (1155)	Zm00001d012590	14.1	11.9	11.1	12.3	24.5	3.7	12.1	12.3	0.073	0.094	0.108	0.149	0.161	0.162	variable	0.04796351499
variable (1155)	Zm00001d012599	19.8	12.9	16.7	11.3	40.7	5.9	12.1	12.9	0.071	0.052	0.189	0.090	0.234	0.110	variable	-0.1926761665
variable (1155)	Zm00001d012606	5.3	6.5	7.4	7.4	4.2	2.3	7.0	7.4	0.089	0.060	0.108	0.239	0.241	0.212	variable	0.1735727234
variable (1155)	Zm00001d012607	89.3	21.3	156.8	16.9	26.3	9.3	19.1	21.3	0.038	0.077	0.122	0.018	0.112	0.036	variable	-0.3313098999
variable (1155)	Zm00001d012625	14.9	8.4	42.7	31.4	48.5	15.6	19.9	31.4	0.076	0.070	0.249	0.195	0.102	0.074	variable	1.902309637
variable (1155)	Zm00001d012635	175.4	195.3	133.9	135.0	101.7	128.6	165.2	195.3	0.089	0.058	0.417	0.164	0.253	0.078	variable	-0.5327677256
variable (1155)	Zm00001d012647	15.0	4.0	14.8	6.3	22.7	3.5	5.1	6.3	0.085	0.092	0.353	0.343	0.271	0.266	variable	0.6627259512
variable (1155)	Zm00001d012679	52.1	29.8	62.2	28.6	60.4	27.2	29.2	29.8	0.073	0.039	0.335	0.185	0.186	0.120	variable	-0.0581397365
variable (1155)	Zm00001d012785	49.7	5.7	26.6	7.6	53.9	3.2	6.6	7.6	0.074	0.075	0.101	0.088	0.100	0.101	variable	0.3992858413
variable (1155)	Zm00001d012800	35.8	43.8	26.7	44.3	31.1	34.6	44.0	44.3	0.080	0.058	0.253	0.180	0.096	0.153	variable	0.01824875448
variable (1155)	Zm00001d012815	60.5	58.1	80.7	34.7	101.7	24.4	46.4	58.1	0.093	0.036	0.154	0.237	0.109	0.223	variable	-0.7449919767
variable (1155)	Zm00001d012820	75.3	169.6	78.7	237.6	35.9	262.0	203.6	237.6	0.056	0.053	0.159	0.113	0.097	0.059	variable	0.4859234916
variable (1155)	Zm00001d012826	2.2	1.7	2.7	6.9	2.4	2.0	4.3	6.9	0.067	0.053	0.118	0.091	0.137	0.100	variable	2.054863399
variable (1155)	Zm00001d012830	6.3	7.0	4.4	7.4	5.4	9.0	7.2	7.4	0.088	0.098	0.255	0.247	0.095	0.251	variable	0.08216103834
