panel	gid	tpm_Ar	tpm_As	tpm_Br	tpm_Bs	tpm_Hr	tpm_Hs	MP_tpm	HP_tpm	SS_Ar_As	SS_Br_Bs	SS_As_Bs	SS_Hs_As	SS_Hs_Bs	SS_Hs_Ms	tag	Bs_As log2ratio
conserved (2189)	ENSRNA049440843	4.9	7.5	3.8	9.7	22.7	2.4	8.6	9.7	0.021	0.045	0.023	0.023	0.000	0.000	conserved	0.3678383966
conserved (2189)	ENSRNA049444035	4.5	2.5	1.8	2.3	11.4	5.2	2.4	2.5	0.019	0.000	0.000	0.040	0.040	0.040	conserved	-0.1636032657
conserved (2189)	ENSRNA049447389	12.3	11.9	5.7	13.5	54.5	22.2	12.7	13.5	0.031	0.028	0.015	0.048	0.045	0.033	conserved	0.1800776676
conserved (2189)	ENSRNA049449974	5.5	42.9	33.1	47.7	6.0	3.5	45.3	47.7	0.009	0.000	0.005	0.005	0.000	0.002	conserved	0.1516214602
conserved (2189)	ENSRNA049450181	58.9	30.0	31.0	31.0	317.8	78.4	30.5	31.0	0.011	0.011	0.012	0.015	0.019	0.010	conserved	0.04675917697
conserved (2189)	ENSRNA049454571	17.9	7.8	59.2	24.2	171.8	1.6	16.0	24.2	0.036	0.016	0.007	0.012	0.006	0.000	conserved	1.62567977
conserved (2189)	ENSRNA049459156	18.3	21.8	5.8	8.2	26.3	16.9	15.0	21.8	0.029	0.077	0.065	0.053	0.084	0.059	conserved	-1.407655657
conserved (2189)	ENSRNA049460422	1.2	260.8	14.9	532.0	34.7	324.3	396.4	532.0	0.078	0.020	0.073	0.261	0.328	0.309	conserved	1.028244836
conserved (2189)	ENSRNA049461634	1.3	6.4	3.3	4.9	2.4	4.1	5.7	6.4	0.042	0.080	0.088	0.173	0.239	0.203	conserved	-0.3907108416
conserved (2189)	ENSRNA049461783	7.8	5.9	62.5	37.9	29.9	2.2	21.9	37.9	0.072	0.027	0.097	0.233	0.136	0.135	conserved	2.671094563
conserved (2189)	ENSRNA049463761	48.6	54.0	63.1	80.2	67.6	23.3	67.1	80.2	0.066	0.061	0.050	0.016	0.038	0.020	conserved	0.5694336153
conserved (2189)	ENSRNA049463813	16.8	10.4	166.1	95.3	319.6	2.6	52.8	95.3	0.033	0.015	0.041	0.053	0.017	0.014	conserved	3.195384508
conserved (2189)	ENSRNA049463828	28.0	24.1	125.6	96.8	274.1	4.8	60.4	96.8	0.066	0.030	0.050	0.107	0.058	0.065	conserved	2.007103593
conserved (2189)	ENSRNA049463865	4.5	5.1	36.1	71.1	37.1	2.0	38.1	71.1	0.049	0.035	0.036	0.244	0.256	0.255	conserved	3.788600569
conserved (2189)	ENSRNA049466676	11.8	12.5	58.0	123.4	37.7	27.4	67.9	123.4	0.027	0.012	0.074	0.068	0.017	0.026	conserved	3.306269944
conserved (2189)	ENSRNA049470937	104.0	11.9	87.3	18.8	192.7	21.8	15.4	18.8	0.095	0.028	0.067	0.035	0.052	0.113	conserved	0.6549409512
conserved (2189)	ENSRNA049472011	28.7	10.2	35.1	19.8	92.8	8.6	15.0	19.8	0.047	0.092	0.051	0.127	0.151	0.249	conserved	0.9604347925
conserved (2189)	ENSRNA049475437	18.8	9.3	20.7	25.7	7.8	4.1	17.5	25.7	0.009	0.006	0.019	0.007	0.019	0.010	conserved	1.475619827
conserved (2189)	ENSRNA049475525	6.5	7.1	10.1	7.5	7.8	3.1	7.3	7.5	0.041	0.035	0.045	0.082	0.037	0.056	conserved	0.09535793994
conserved (2189)	ENSRNA049475572	3.5	2.6	2.8	3.0	1.8	1.3	2.8	3.0	0.024	0.053	0.020	0.041	0.053	0.031	conserved	0.1875596789
conserved (2189)	ENSRNA049476127	18.8	15.6	27.9	23.3	34.1	6.9	19.4	23.3	0.044	0.044	0.041	0.093	0.104	0.109	conserved	0.582408272
conserved (2189)	ENSRNA049476258	12.5	8.5	7.8	9.7	5.4	4.4	9.1	9.7	0.045	0.029	0.049	0.051	0.046	0.013	conserved	0.1900237504
conserved (2189)	ENSRNA049478106	10.4	1.2	5.0	11.5	2.4	2.1	6.3	11.5	0.008	0.018	0.000	0.000	0.000	0.000	conserved	3.250836517
conserved (2189)	ENSRNA049478109	11.8	5.6	7.0	22.7	6.6	5.6	14.1	22.7	0.011	0.000	0.011	0.011	0.000	0.000	conserved	2.01869778
conserved (2189)	ENSRNA049478119	3.8	1.8	2.5	8.2	1.8	2.0	5.0	8.2	0.000	0.039	0.039	0.000	0.039	0.022	conserved	2.225114467
conserved (2189)	ENSRNA049478136	19.2	5.5	10.9	23.5	4.2	6.4	14.5	23.5	0.061	0.091	0.060	0.152	0.105	0.115	conserved	2.105580576
conserved (2189)	ENSRNA049478203	12.7	4.5	6.8	19.1	9.0	4.8	11.8	19.1	0.046	0.019	0.024	0.018	0.042	0.000	conserved	2.074860283
conserved (2189)	ENSRNA049478218	887.5	590.5	950.0	2837.6	991.0	1068.3	1714.1	2837.6	0.043	0.038	0.027	0.066	0.093	0.093	conserved	2.264544994
conserved (2189)	ENSRNA049478234	4.9	9.7	3.0	6.5	1.8	3.4	8.1	9.7	0.016	0.051	0.026	0.066	0.074	0.100	conserved	-0.5797113187
conserved (2189)	ENSRNA049478247	1.3	4.0	2.8	1.9	0.0	1.5	3.0	4.0	0.040	0.026	0.074	0.375	0.375	0.375	conserved	-1.078057624
conserved (2189)	ENSRNA049478275	976.2	434.6	400.7	602.4	281.3	788.6	518.5	602.4	0.077	0.037	0.055	0.032	0.078	0.068	conserved	0.4711660887
conserved (2189)	ENSRNA049478320	7.9	17.2	15.2	36.4	34.1	9.7	26.8	36.4	0.095	0.051	0.040	0.073	0.075	0.082	conserved	1.079836873
conserved (2189)	ENSRNA049478350	411.2	194.5	193.3	277.2	139.4	354.1	235.9	277.2	0.064	0.082	0.053	0.048	0.099	0.104	conserved	0.5111683642
conserved (2189)	ENSRNA049478524	370.4	493.9	418.8	1277.4	220.2	321.8	885.6	1277.4	0.024	0.027	0.015	0.040	0.033	0.040	conserved	1.370953055
conserved (2189)	ENSRNA049478548	245.7	181.2	206.0	172.9	277.1	409.7	177.0	181.2	0.060	0.076	0.017	0.108	0.110	0.109	conserved	-0.06808306787
conserved (2189)	ENSRNA049478615	103.5	155.6	147.9	169.5	140.0	191.5	162.6	169.5	0.017	0.045	0.038	0.060	0.053	0.069	conserved	0.1234740259
conserved (2189)	ENSRNA049478622	3.5	4.6	2.8	2.9	1.2	2.8	3.7	4.6	0.024	0.077	0.048	0.024	0.048	0.000	conserved	-0.6656976374
conserved (2189)	ENSRNA049478649	30.4	16.7	24.0	68.5	19.2	23.4	42.6	68.5	0.051	0.036	0.015	0.023	0.020	0.030	conserved	2.038989654
conserved (2189)	ENSRNA049478662	24.6	15.1	26.1	64.3	18.6	15.1	39.7	64.3	0.079	0.023	0.009	0.013	0.015	0.012	conserved	2.088596852
conserved (2189)	ENSRNA049478748	3.6	3.6	6.0	8.4	5.4	2.1	6.0	8.4	0.000	0.024	0.000	0.083	0.083	0.083	conserved	1.234047595
conserved (2189)	ENSRNA049478865	4.5	4.4	13.1	18.8	0.6	3.6	11.6	18.8	0.082	0.034	0.083	0.286	0.361	0.352	conserved	2.102135644
conserved (2189)	ENSRNA049479065	268.1	356.0	296.0	627.0	148.4	186.2	491.5	627.0	0.079	0.095	0.100	0.173	0.146	0.141	conserved	0.816477073
conserved (2189)	ENSRNA049479084	12.4	11.2	16.5	35.3	13.8	9.2	23.3	35.3	0.022	0.003	0.023	0.009	0.014	0.014	conserved	1.652820338
conserved (2189)	ENSRNA049479090	5.1	4.6	7.5	13.2	7.2	5.9	8.9	13.2	0.037	0.030	0.013	0.013	0.000	0.000	conserved	1.512744435
conserved (2189)	ENSRNA049479107	4.8	4.5	2.1	3.8	0.6	4.9	4.2	4.5	0.014	0.045	0.045	0.115	0.070	0.115	conserved	-0.2329701552
conserved (2189)	ENSRNA049479365	6.8	9.6	22.4	15.2	0.0	7.8	12.4	15.2	0.052	0.044	0.063	0.073	0.111	0.081	conserved	0.6699509549
conserved (2189)	ENSRNA049479581	5.2	12.5	8.4	17.7	11.4	8.8	15.1	17.7	0.006	0.000	0.006	0.054	0.060	0.060	conserved	0.5010285458
conserved (2189)	ENSRNA049479622	142.4	133.8	162.3	124.2	229.2	407.1	129.0	133.8	0.078	0.046	0.076	0.083	0.159	0.100	conserved	-0.1064339103
conserved (2189)	ZeamMp086	112.7	52.7	108.5	64.5	96.4	23.1	58.6	64.5	0.006	0.008	0.010	0.036	0.039	0.047	conserved	0.291130838
conserved (2189)	Zm00001d000004	27.6	26.7	27.1	45.3	12.0	21.3	36.0	45.3	0.045	0.056	0.084	0.099	0.101	0.059	conserved	0.7647372641
conserved (2189)	Zm00001d000039	20.5	25.4	14.1	12.8	25.1	2.8	19.1	25.4	0.086	0.068	0.092	0.213	0.194	0.238	conserved	-0.9831371666
conserved (2189)	Zm00001d000074	15.2	4.8	13.6	5.2	34.1	2.3	5.0	5.2	0.060	0.057	0.038	0.233	0.242	0.250	conserved	0.1053920611
conserved (2189)	Zm00001d000112	12.4	3.4	33.8	7.8	9.0	1.4	5.6	7.8	0.098	0.091	0.041	0.124	0.119	0.119	conserved	1.19471542
conserved (2189)	Zm00001d000120	19.2	13.3	20.0	17.0	28.1	10.6	15.2	17.0	0.047	0.076	0.039	0.100	0.073	0.096	conserved	0.349302323
conserved (2189)	Zm00001d000135	37.8	27.1	34.6	29.4	18.0	13.5	28.3	29.4	0.053	0.039	0.092	0.170	0.226	0.187	conserved	0.1208343408
conserved (2189)	Zm00001d000175	24.9	6.4	17.1	8.8	34.1	4.7	7.6	8.8	0.088	0.093	0.067	0.099	0.156	0.145	conserved	0.4705933752
conserved (2189)	Zm00001d000178	117.6	29.0	46.0	44.0	50.3	24.7	36.5	44.0	0.060	0.052	0.090	0.094	0.089	0.096	conserved	0.6003336062
conserved (2189)	Zm00001d000240	26.4	23.8	26.3	17.7	20.3	13.8	20.7	23.8	0.064	0.049	0.056	0.054	0.073	0.056	conserved	-0.4242093548
conserved (2189)	Zm00001d000293	4.5	4.9	11.1	9.8	0.0	3.2	7.4	9.8	0.016	0.033	0.022	0.043	0.021	0.041	conserved	0.9989179441
conserved (2189)	Zm00001d000294	8.2	6.8	8.1	18.5	2.4	5.1	12.7	18.5	0.065	0.058	0.092	0.104	0.063	0.059	conserved	1.435549742
conserved (2189)	Zm00001d000302	118.7	138.1	95.2	137.9	137.6	76.7	138.0	138.1	0.055	0.074	0.075	0.071	0.109	0.073	conserved	-0.002153262442
conserved (2189)	Zm00001d000401	9.3	19.5	8.5	21.8	28.7	30.3	20.6	21.8	0.069	0.078	0.097	0.056	0.139	0.100	conserved	0.1620147331
conserved (2189)	Zm00001d000403	322.1	185.0	388.5	256.7	795.9	161.4	220.8	256.7	0.070	0.080	0.027	0.063	0.042	0.056	conserved	0.4727350869
conserved (2189)	Zm00001d000432	10.6	10.1	13.6	6.9	3.6	2.5	8.5	10.1	0.063	0.079	0.045	0.300	0.297	0.324	conserved	-0.5590222524
conserved (2189)	Zm00001d000763	73.5	108.9	20.1	68.3	199.9	55.0	88.6	108.9	0.054	0.084	0.070	0.112	0.170	0.116	conserved	-0.6735013618
conserved (2189)	Zm00001d000907	23.9	12.6	11.2	20.8	95.8	20.5	16.7	20.8	0.008	0.019	0.016	0.018	0.030	0.021	conserved	0.7215705863
conserved (2189)	Zm00001d000993	5.1	14.4	8.8	18.0	23.3	3.5	16.2	18.0	0.071	0.095	0.087	0.108	0.053	0.055	conserved	0.3201640439
conserved (2189)	Zm00001d001080	26.6	27.4	12.3	37.8	13.8	9.1	32.6	37.8	0.060	0.059	0.076	0.159	0.208	0.191	conserved	0.462234689
conserved (2189)	Zm00001d001136	23.3	2.3	4.5	4.9	22.1	6.0	3.6	4.9	0.097	0.054	0.065	0.061	0.036	0.036	conserved	1.110921914
conserved (2189)	Zm00001d001256	9.6	5.7	5.4	6.6	12.6	4.1	6.2	6.6	0.094	0.065	0.077	0.242	0.277	0.236	conserved	0.2175980228
conserved (2189)	Zm00001d001351	2.7	2.3	2.1	3.0	9.6	3.0	2.6	3.0	0.029	0.048	0.048	0.067	0.019	0.067	conserved	0.3827341995
conserved (2189)	Zm00001d001478	16.9	13.8	13.2	17.6	58.0	13.7	15.7	17.6	0.021	0.036	0.051	0.026	0.050	0.034	conserved	0.3465311906
conserved (2189)	Zm00001d001499	6.2	15.3	13.9	21.1	134.7	3.7	18.2	21.1	0.025	0.049	0.041	0.089	0.078	0.059	conserved	0.4655750644
conserved (2189)	Zm00001d001582	98.6	98.0	53.1	154.5	45.5	134.0	126.2	154.5	0.051	0.071	0.046	0.030	0.035	0.035	conserved	0.657343124
conserved (2189)	Zm00001d001737	4.1	2.0	2.0	3.9	5.4	1.7	3.0	3.9	0.000	0.024	0.000	0.111	0.111	0.111	conserved	0.9826862503
conserved (2189)	Zm00001d001780	39.6	33.1	38.2	45.0	18.6	18.2	39.1	45.0	0.046	0.088	0.092	0.107	0.065	0.059	conserved	0.4425574646
conserved (2189)	Zm00001d001786	53.0	36.2	50.7	20.3	122.7	7.0	28.3	36.2	0.077	0.095	0.055	0.315	0.319	0.296	conserved	-0.8342520869
conserved (2189)	Zm00001d001790	19.4	11.5	25.6	13.1	42.5	10.8	12.3	13.1	0.059	0.076	0.078	0.113	0.117	0.118	conserved	0.179227627
conserved (2189)	Zm00001d001824	97.8	35.8	79.2	34.9	124.5	29.5	35.3	35.8	0.052	0.046	0.034	0.116	0.133	0.134	conserved	-0.03624537611
conserved (2189)	Zm00001d001830	42.1	19.0	24.7	13.6	25.7	18.9	16.3	19.0	0.048	0.053	0.090	0.123	0.194	0.150	conserved	-0.4841409907
conserved (2189)	Zm00001d001865	18.5	14.1	31.9	12.5	0.0	4.1	13.3	14.1	0.014	0.037	0.032	0.073	0.086	0.066	conserved	-0.1805265548
conserved (2189)	Zm00001d001870	25.4	18.3	44.9	51.9	25.7	30.9	35.1	51.9	0.072	0.062	0.032	0.097	0.118	0.109	conserved	1.508397786
conserved (2189)	Zm00001d001896	27.0	25.6	18.0	31.0	3.0	32.6	28.3	31.0	0.042	0.041	0.049	0.064	0.113	0.095	conserved	0.274520779
conserved (2189)	Zm00001d001901	62.6	38.8	62.8	32.5	43.7	20.4	35.6	38.8	0.066	0.041	0.059	0.068	0.074	0.065	conserved	-0.2585714891
conserved (2189)	Zm00001d001909	12.6	19.6	19.1	26.4	22.1	11.9	23.0	26.4	0.093	0.084	0.050	0.081	0.110	0.118	conserved	0.426428695
conserved (2189)	Zm00001d001913	437.3	358.6	456.3	429.9	384.8	399.2	394.2	429.9	0.056	0.050	0.049	0.051	0.034	0.045	conserved	0.2618010836
conserved (2189)	Zm00001d001923	24.4	39.6	34.7	25.5	67.0	25.3	32.5	39.6	0.074	0.093	0.052	0.115	0.130	0.092	conserved	-0.6384647127
conserved (2189)	Zm00001d001964	7.8	14.0	18.9	29.0	7.2	1.7	21.5	29.0	0.082	0.051	0.076	0.115	0.113	0.101	conserved	1.049467844
conserved (2189)	Zm00001d001978	69.4	64.7	88.6	55.0	77.2	19.6	59.8	64.7	0.036	0.084	0.093	0.091	0.177	0.136	conserved	-0.2331423847
conserved (2189)	Zm00001d001980	20.4	18.5	17.5	14.7	6.6	18.2	16.6	18.5	0.083	0.059	0.097	0.159	0.119	0.118	conserved	-0.3334866968
conserved (2189)	Zm00001d001997	16.4	20.5	18.6	21.7	17.4	15.8	21.1	21.7	0.098	0.052	0.060	0.074	0.093	0.097	conserved	0.08243136964
conserved (2189)	Zm00001d002006	211.9	52.4	178.0	51.1	40.1	41.7	51.8	52.4	0.100	0.095	0.037	0.088	0.085	0.117	conserved	-0.03553815738
conserved (2189)	Zm00001d002027	104.3	70.3	59.8	84.2	45.5	40.2	77.3	84.2	0.056	0.072	0.059	0.120	0.076	0.086	conserved	0.2597863699
conserved (2189)	Zm00001d002036	18.1	9.1	16.7	10.6	22.1	6.9	9.8	10.6	0.071	0.066	0.045	0.144	0.130	0.079	conserved	0.2108658192
conserved (2189)	Zm00001d002051	149.2	68.7	189.0	72.3	34.1	18.6	70.5	72.3	0.027	0.026	0.046	0.025	0.053	0.034	conserved	0.0732909836
conserved (2189)	Zm00001d002052	58.3	88.5	128.1	335.6	44.3	122.3	212.1	335.6	0.011	0.086	0.023	0.030	0.046	0.031	conserved	1.922732048
conserved (2189)	Zm00001d002063	46.1	34.0	40.4	31.5	39.5	32.1	32.7	34.0	0.071	0.072	0.053	0.071	0.052	0.057	conserved	-0.1109864364
conserved (2189)	Zm00001d002069	11.6	22.5	10.0	26.4	18.6	15.5	24.4	26.4	0.088	0.043	0.047	0.086	0.092	0.104	conserved	0.230455732
conserved (2189)	Zm00001d002075	30.6	27.1	26.8	42.0	22.7	12.8	34.5	42.0	0.062	0.041	0.055	0.071	0.113	0.173	conserved	0.6340589773
conserved (2189)	Zm00001d002079	60.7	33.2	69.8	78.5	105.3	13.2	55.8	78.5	0.046	0.070	0.053	0.146	0.173	0.174	conserved	1.242404213
conserved (2189)	Zm00001d002080	50.4	56.5	55.5	48.6	115.5	47.7	52.6	56.5	0.093	0.092	0.049	0.154	0.134	0.139	conserved	-0.2173941964
conserved (2189)	Zm00001d002084	63.5	56.5	65.8	62.7	51.5	44.0	59.6	62.7	0.059	0.047	0.048	0.059	0.038	0.038	conserved	0.1505863843
conserved (2189)	Zm00001d002128	101.6	10.1	75.5	15.3	73.6	5.0	12.7	15.3	0.055	0.050	0.054	0.279	0.318	0.302	conserved	0.5996510723
conserved (2189)	Zm00001d002148	45.3	22.7	44.4	29.7	37.7	25.2	26.2	29.7	0.059	0.079	0.031	0.109	0.109	0.099	conserved	0.3891511863
conserved (2189)	Zm00001d002155	19.0	16.7	17.9	18.5	19.2	15.5	17.6	18.5	0.050	0.058	0.038	0.062	0.064	0.091	conserved	0.1486623325
conserved (2189)	Zm00001d002156	544.2	525.9	505.0	273.0	482.9	321.8	399.5	525.9	0.017	0.030	0.030	0.052	0.046	0.047	conserved	-0.946113336
conserved (2189)	Zm00001d002164	27.2	32.2	41.6	18.9	47.3	17.1	25.6	32.2	0.066	0.059	0.047	0.100	0.115	0.106	conserved	-0.7659217039
conserved (2189)	Zm00001d002166	133.7	77.3	89.3	102.9	56.9	48.3	90.1	102.9	0.058	0.017	0.035	0.051	0.039	0.052	conserved	0.412709349
conserved (2189)	Zm00001d002244	248.0	196.1	214.8	184.4	105.3	115.0	190.3	196.1	0.041	0.090	0.047	0.094	0.074	0.085	conserved	-0.08889939488
conserved (2189)	Zm00001d002253	35.5	37.1	34.6	48.5	14.4	20.6	42.8	48.5	0.023	0.054	0.051	0.087	0.095	0.072	conserved	0.388148663
conserved (2189)	Zm00001d002266	119.7	83.0	220.0	77.7	23.9	34.6	80.3	83.0	0.034	0.039	0.044	0.091	0.060	0.090	conserved	-0.09460148754
conserved (2189)	Zm00001d002287	33.4	14.8	32.8	25.0	0.0	9.0	19.9	25.0	0.015	0.031	0.017	0.052	0.047	0.038	conserved	0.7532539007
conserved (2189)	Zm00001d002323	35.0	86.2	25.4	62.7	12.0	51.9	74.4	86.2	0.034	0.083	0.070	0.141	0.200	0.135	conserved	-0.4590025553
conserved (2189)	Zm00001d002339	75.7	66.4	55.3	56.7	79.0	46.0	61.6	66.4	0.042	0.058	0.064	0.086	0.033	0.071	conserved	-0.2256963812
conserved (2189)	Zm00001d002347	323.2	483.0	185.0	268.9	3.0	740.4	376.0	483.0	0.027	0.059	0.041	0.011	0.046	0.007	conserved	-0.8450930645
conserved (2189)	Zm00001d002351	3.3	814.6	6.3	523.1	2.4	452.5	668.8	814.6	0.071	0.036	0.032	0.030	0.027	0.024	conserved	-0.6390987032
conserved (2189)	Zm00001d002359	3.0	4.0	8.1	6.5	5.4	2.9	5.3	6.5	0.058	0.038	0.059	0.086	0.085	0.043	conserved	0.7132553516
conserved (2189)	Zm00001d002364	153.5	37.7	170.7	77.2	4.8	2.5	57.5	77.2	0.033	0.038	0.051	0.080	0.070	0.071	conserved	1.032470592
conserved (2189)	Zm00001d002384	2.4	59.5	3.4	54.4	0.0	107.0	56.9	59.5	0.046	0.069	0.077	0.071	0.050	0.059	conserved	-0.130384309
conserved (2189)	Zm00001d002386	28.4	21.3	23.7	21.6	16.2	16.9	21.5	21.6	0.100	0.046	0.062	0.150	0.170	0.122	conserved	0.01863145712
conserved (2189)	Zm00001d002405	105.8	26.8	71.2	38.1	28.7	20.1	32.5	38.1	0.099	0.100	0.069	0.100	0.150	0.125	conserved	0.5099639167
conserved (2189)	Zm00001d002422	3.2	18.1	4.1	18.6	0.0	2.1	18.3	18.6	0.081	0.085	0.087	0.435	0.390	0.399	conserved	0.03611066365
conserved (2189)	Zm00001d002450	23.2	15.8	19.8	17.3	5.4	12.6	16.5	17.3	0.034	0.087	0.079	0.077	0.110	0.065	conserved	0.135430678
conserved (2189)	Zm00001d002451	230.5	183.4	281.8	270.8	171.8	117.2	227.1	270.8	0.078	0.021	0.033	0.049	0.052	0.042	conserved	0.5622546661
conserved (2189)	Zm00001d002456	66.6	77.0	88.1	55.0	92.8	39.4	66.0	77.0	0.096	0.062	0.056	0.088	0.066	0.092	conserved	-0.4866543416
conserved (2189)	Zm00001d002496	19.0	18.6	17.8	16.7	35.3	10.6	17.7	18.6	0.068	0.063	0.092	0.101	0.080	0.097	conserved	-0.1501186673
conserved (2189)	Zm00001d002499	39.5	26.5	40.9	31.2	21.5	23.0	28.8	31.2	0.044	0.029	0.037	0.053	0.077	0.078	conserved	0.2358693285
conserved (2189)	Zm00001d002525	5.7	2.2	2.9	7.8	15.6	1.6	5.0	7.8	0.031	0.016	0.027	0.125	0.098	0.094	conserved	1.813293275
conserved (2189)	Zm00001d002564	3.8	6.0	35.7	39.1	0.6	1.9	22.5	39.1	0.070	0.059	0.061	0.160	0.144	0.144	conserved	2.697300898
conserved (2189)	Zm00001d002572	5.2	12.6	4.5	6.2	6.6	1.0	9.4	12.6	0.082	0.081	0.093	0.230	0.215	0.205	conserved	-1.01186159
conserved (2189)	Zm00001d002580	34.7	18.1	19.4	19.4	22.1	9.8	18.8	19.4	0.076	0.067	0.050	0.233	0.208	0.232	conserved	0.1006670773
conserved (2189)	Zm00001d002596	21.9	16.9	6.3	30.3	15.6	61.4	23.6	30.3	0.097	0.063	0.094	0.218	0.124	0.174	conserved	0.8406488549
conserved (2189)	Zm00001d002607	375.1	542.9	358.0	215.8	369.2	1.3	379.4	542.9	0.023	0.024	0.022	0.308	0.306	0.308	conserved	-1.330956401
conserved (2189)	Zm00001d002614	27.4	49.3	15.1	46.8	1.8	3.1	48.0	49.3	0.047	0.082	0.084	0.086	0.147	0.111	conserved	-0.07476573921
conserved (2189)	Zm00001d002623	83.2	14.5	134.2	43.4	9.0	1.3	28.9	43.4	0.075	0.035	0.057	0.146	0.133	0.126	conserved	1.583294892
conserved (2189)	Zm00001d002625	28.5	28.2	29.4	51.2	5.4	11.5	39.7	51.2	0.059	0.095	0.091	0.123	0.050	0.068	conserved	0.8594472064
conserved (2189)	Zm00001d002632	221.9	38.4	190.4	43.6	42.5	12.1	41.0	43.6	0.070	0.090	0.087	0.075	0.161	0.109	conserved	0.1852841949
conserved (2189)	Zm00001d002656	28.9	16.9	27.7	20.8	27.5	13.8	18.8	20.8	0.042	0.095	0.079	0.087	0.146	0.126	conserved	0.2993486013
conserved (2189)	Zm00001d002659	54.0	40.3	39.6	41.9	34.1	30.5	41.1	41.9	0.041	0.037	0.041	0.138	0.159	0.152	conserved	0.05752864265
conserved (2189)	Zm00001d002690	7223.1	3522.0	2868.9	3121.0	1973.7	1498.4	3321.5	3522.0	0.008	0.012	0.013	0.018	0.024	0.018	conserved	-0.1744111271
conserved (2189)	Zm00001d002704	937.4	312.8	3006.8	778.1	945.6	282.3	545.4	778.1	0.058	0.040	0.086	0.046	0.040	0.023	conserved	1.314839123
conserved (2189)	Zm00001d002754	20.4	32.3	35.4	54.2	65.8	25.1	43.2	54.2	0.067	0.033	0.066	0.101	0.036	0.050	conserved	0.7493185087
conserved (2189)	Zm00001d002759	13.2	68.4	25.1	92.6	3.6	65.8	80.5	92.6	0.027	0.028	0.068	0.163	0.121	0.165	conserved	0.4385713403
conserved (2189)	Zm00001d002762	67.2	26.2	78.3	54.6	58.6	22.8	40.4	54.6	0.091	0.036	0.093	0.097	0.058	0.059	conserved	1.059070879
conserved (2189)	Zm00001d002873	34.7	126.5	32.1	167.3	45.5	197.2	146.9	167.3	0.024	0.033	0.039	0.085	0.113	0.089	conserved	0.402960626
conserved (2189)	Zm00001d002925	77.9	62.9	69.5	59.8	32.3	36.2	61.4	62.9	0.049	0.080	0.036	0.118	0.087	0.123	conserved	-0.0742135469
conserved (2189)	Zm00001d002944	88.9	60.1	92.2	47.9	111.3	33.7	54.0	60.1	0.063	0.062	0.056	0.038	0.047	0.028	conserved	-0.3251429141
conserved (2189)	Zm00001d002950	44.0	42.6	51.6	18.7	183.1	6.0	30.6	42.6	0.077	0.092	0.047	0.289	0.309	0.313	conserved	-1.192020486
conserved (2189)	Zm00001d002978	144.3	128.7	109.5	95.6	146.6	104.4	112.1	128.7	0.061	0.082	0.080	0.124	0.059	0.101	conserved	-0.4284851899
conserved (2189)	Zm00001d003012	18.7	15.4	23.4	13.7	4.8	3.5	14.6	15.4	0.033	0.059	0.095	0.077	0.165	0.060	conserved	-0.1652234229
conserved (2189)	Zm00001d003081	198.9	93.8	233.3	130.7	266.3	67.5	112.3	130.7	0.044	0.041	0.035	0.034	0.049	0.041	conserved	0.4782792983
conserved (2189)	Zm00001d003083	71.5	74.9	73.6	63.3	40.1	56.7	69.1	74.9	0.086	0.044	0.050	0.113	0.107	0.095	conserved	-0.2421832899
conserved (2189)	Zm00001d003103	28.5	22.5	23.3	29.9	56.3	23.0	26.2	29.9	0.072	0.067	0.050	0.146	0.109	0.145	conserved	0.4101872775
conserved (2189)	Zm00001d003106	134.2	194.8	118.7	157.5	40.7	98.5	176.1	194.8	0.054	0.047	0.030	0.050	0.080	0.069	conserved	-0.3061628986
conserved (2189)	Zm00001d003119	11.3	12.4	11.4	10.0	2.4	5.3	11.2	12.4	0.083	0.069	0.088	0.203	0.256	0.192	conserved	-0.3064303491
conserved (2189)	Zm00001d003127	385.5	398.5	494.9	330.5	697.2	132.5	364.5	398.5	0.020	0.073	0.046	0.102	0.056	0.094	conserved	-0.2701726971
conserved (2189)	Zm00001d003157	1369.1	2410.9	1064.2	1078.3	1322.0	1925.7	1744.6	2410.9	0.020	0.013	0.008	0.019	0.013	0.015	conserved	-1.160880066
conserved (2189)	Zm00001d003209	2.8	1.5	14.0	29.8	7.8	2.9	15.7	29.8	0.008	0.018	0.025	0.038	0.040	0.032	conserved	4.345524617
conserved (2189)	Zm00001d003222	43.0	34.6	33.2	31.6	23.3	35.8	33.1	34.6	0.086	0.087	0.050	0.070	0.058	0.040	conserved	-0.1310145144
conserved (2189)	Zm00001d003257	325.5	248.2	254.2	170.6	206.5	69.5	209.4	248.2	0.022	0.047	0.054	0.050	0.078	0.054	conserved	-0.5411072826
conserved (2189)	Zm00001d003345	31.8	29.2	25.3	24.3	31.1	16.8	26.8	29.2	0.058	0.089	0.047	0.079	0.113	0.085	conserved	-0.2670226947
conserved (2189)	Zm00001d003401	995.1	496.7	674.2	819.8	505.1	336.5	658.3	819.8	0.032	0.027	0.026	0.030	0.034	0.034	conserved	0.7227143401
conserved (2189)	Zm00001d003457	62.5	40.4	41.1	38.8	18.6	22.6	39.6	40.4	0.027	0.066	0.062	0.050	0.062	0.037	conserved	-0.05933462056
conserved (2189)	Zm00001d003493	45.5	36.4	46.4	39.6	23.9	51.6	38.0	39.6	0.011	0.022	0.023	0.052	0.041	0.047	conserved	0.1224481704
